WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.129913460527582 51.5152257153189)","4597",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.129115350305105 51.5129241004314)","4596",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.129739163497786 51.5134289438891)","4595",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.130050353944639 51.5130936657224)","4594",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.127791609095995 51.5125627375239)","4593",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.127152716856446 51.5136351195089)","4592",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.127700355723171 51.5147883065525)","4591",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.13170031297784 51.5188112428327)","4590",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.12866353963768 51.5166904628243)","4589",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.118315604813376 51.5283714462948)","4588",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.119512693688295 51.5282050578958)","4587",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.12332756908441 51.5270907800062)","4586",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.134763807494519 51.5251389610142)","4585",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.137658679241072 51.5258963667625)","4584",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.138746437481621 51.5259754933168)","4583",1940/10/08 23:00:00,1940/10/09 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.1367996572239 51.5214286858031)","4582",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.137555936843155 51.5223376907523)","4581",1940/10/12 23:00:00,1940/10/13 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.332821972088701 51.527842631448)","4580",1940/10/09 23:00:00,1940/10/10 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.329197587038196 51.5306675652591)","4579",1940/10/10 23:00:00,1940/10/11 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.269868460491426 51.514033114451)","4578",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.269678816104402 51.5151128798442)","4577",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.270667475154112 51.5151893207134)","4576",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.279243712242498 51.5138926525869)","4575",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.289285475268643 51.5171325655926)","4574",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
"POINT (-0.290926501234478 51.5170018355986)","4573",1940/10/13 23:00:00,1940/10/14 22:59:59,,"1",2012/10/14 20:06:42,2012/10/14 20:06:42,"4",XB,false,
