WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.045978 51.516747)","599",1940/09/07 14:26:00,1940/09/07 14:26:00,"307 Stepney Way E1, London, UK ; Back room on 2nd floor and contents damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","598",1940/09/07 14:15:00,1940/09/07 14:15:00,"Cavell Street- Stepney E1, London, UK ; Minor fire and explosion damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.067984 51.520224)","597",1940/09/07 14:10:00,1940/09/07 14:10:00,"Timothy Road, Poplar, Greater London E3 4, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","596",1940/09/07 14:05:00,1940/09/07 14:05:00,"Rhodeswell Road, E, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","595",1940/09/07 14:03:00,1940/09/07 14:03:00,"St. Paul's Way, E3, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.011767 51.525765)","594",1940/09/07 14:01:00,1940/09/07 14:01:00,"St. Leonard's Street, Bromley E3, London, UK ; Gas leakage in street","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.058751 51.503224)","593",1940/09/07 14:01:00,1940/09/07 14:01:00,"Aberdeen Wharf 94 \Wapping High Street, Tower Hamlets, London E1W 2ND, London, UK ; dumb barge damaged by explosion and sunk","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.048064 51.543951)","592",1940/09/07 14:00:00,1940/09/07 14:00:00,"38 Collent Street, E9, London, UK ; Back room on ground floor damaged.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.010153 51.52708)","591",1940/09/07 13:51:00,1940/09/07 13:51:00,"Otis Street, Bromley, E3, London, UK ; Gas and water leakage in street","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.046676 51.493041)","590",1940/09/07 13:47:00,1940/09/07 13:47:00,"Canada yard, Surrey, Commercial Docks, SE16, London, UK ; Range of sheds with timbers covering 2 acres are damaged and falled down.","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.011845 51.459624)","589",1940/09/07 13:46:00,1940/09/07 13:46:00,"198 Lewisham High Street, Lewisham, SE13, London, UK ; Electric cables burned in debris","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",UNKNOWN,false,
"POINT (-0.079302 51.524689)","588",1940/09/07 13:43:00,1940/09/07 13:43:00,"3 Orchard Place, Blackheath, SE3, London, UK ; 2x1 roof damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.01945 51.504954)","587",1940/09/07 13:36:00,1940/09/07 13:36:00,"Walker Street, E14, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","586",1940/09/07 13:35:00,1940/09/07 13:35:00,"Whitman Road, Bow E3, London, UK ; 2x1 paving damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.079302 51.524689)","585",1940/09/07 13:25:00,1940/09/07 13:25:00,"Union Road, Millwall E14, London, UK ; Beer Retailer-A range of buildings of 1, 2 and 3 floors covering an area of about 650x 450 feet used as machine rooms, workshops, sorting rooms, offices dwelling and store. About 2/3 and contents, some stock in yard","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
